SPEC,LONG,LAT
Trufum,-77.552417,37.656754
Trufum,-77.35596,37.627304
Trufum,-77.460312,37.553749
Trufum,-90.655685,30.508991
Trufum,-82.23316,27.05602
Trufum,-91.453135,31.42599
Trufum,-91.236416,31.629317
Trufum,-91.36541,31.541607
Trufum,-75.416992,39.085768
Trufum,-91.82734,31.65146
Trufum,-79.823784,36.064583
Trufum,-79.95946,36.38544
Trufum,-79.838428,36.089726
Trufum,-79.41544,36.12696
Trufum,-79.46171,36.74181
Trufum,-79.88357,36.10274
Trufum,-79.508141,36.131462
Trufum,-79.39135,36.6237
Trufum,-79.74588,36.506367
Trufum,-79.26694,36.09594
Trufum,-80.54126,34.938305
Trufum,-80.77089,34.72045
Trufum,-93.233029,33.291233
Trufum,-93.813868,33.630209
Trufum,-93.23501,33.264046
Trufum,-93.58956,33.663097
Trufum,-93.19618,33.386294
Trufum,-93.23937,33.26703
Trufum,-93.50208,33.36096
Trufum,-93.443344,33.369053
Trufum,-94.707235,31.331512
Trufum,-94.727106,31.358084
Trufum,-94.727455,31.374115
Trufum,-94.727881,31.374036
Trufum,-94.65551,31.60348
Trufum,-94.66568,31.598618
Trufum,-96.07261,37.427784
Trufum,-87.49109,33.21136
Trufum,-84.85413,32.86483
Trufum,-84.923706,32.536427
Trufum,-84.9013,32.640602
Trufum,-84.23271,32.07236
Trufum,-84.864639,32.847522
Trufum,-84.22553,32.073814
Trufum,-84.978465,32.472589
Trufum,-84.979416,32.517185
Trufum,-84.94989,32.46834
Trufum,-84.60432,32.53124
Trufum,-84.40241,33.55355
Trufum,-85.053359,31.998703
Trufum,-85.97157,31.803716
Trufum,-85.369644,31.289015
Trufum,-95.488,30.764
Trufum,-95.17037,30.056744
Trufum,-85.74433,31.00938
Trufum,-95.50387,30.17218
Trufum,-95.64253,30.19367
Trufum,-95.550819,30.72349
Trufum,-95.5194,30.3329
Trufum,-82.6118,28.3572
Trufum,-89.223857,36.916721
Trufum,-89.384495,36.778332
Trufum,-89.47197,36.37837
Trufum,-89.01754,36.069775
Trufum,-89.37887,36.03637
Trufum,-88.158302,30.63122
Trufum,-88.88533,30.396
Trufum,-88.59002,30.92519
Trufum,-88.303856,30.796262
Trufum,-88.52904,30.4255
Trufum,-88.560472,30.36144
Trufum,-88.043098,30.694389
Trufum,-84.62744,39.272194
Trufum,-82.557265,35.633788
Trufum,-82.47776,35.363182
Trufum,-78.866767,35.630753
Trufum,-78.87835,35.05266
Trufum,-76.00869,36.82911
Trufum,-76.24036,36.81393
Trufum,-86.864189,33.100719
Trufum,-95.36534,32.330463
Trufum,-79.46971,36.478138
Trufum,-83.66283,33.48326
Trufum,-83.86799,34.371994
Trufum,-83.98491,34.53259
Trufum,-74.1442,41.0886
Trufum,-74.93381,41.78089
Trufum,-77.4332,38.69232
Trufum,-77.022506,38.858978
Trufum,-87.63422,41.880698
Trufum,-85.996498,45.093899
Trufum,-81.579507,30.303273
Trufum,-77.91892,37.54205
Trufum,-77.57996,37.47959
Trufum,-81.0298,35.53123
Trufum,-77.1482,35.303146
Trufum,-83.047818,29.150908
Trufum,-81.800785,41.094903
Trufum,-96.89028,32.95372
Trufum,-96.135499,41.312307
Trufum,-96.130688,41.317045
Trufum,-96.127839,41.313145
Trufum,-89.83879,35.56246
Trufum,-90.131042,29.919599
Trufum,-90.02996,29.89319
Trufum,-84.8332,34.1876
Trufum,-84.29775,34.09953
Trufum,-84.70824,34.56649
Trufum,-84.296363,33.769568
Trufum,-84.57383,33.09373
Trufum,-84.57461,33.47702
Trufum,-84.385323,33.934704
Trufum,-76.6142,37.6541
Trufum,-84.76214,33.8757
Trufum,-84.43933,33.67951
Trufum,-84.6354,33.3821
Trufum,-85.40575,31.204275
Trufum,-85.183833,34.224106
Trufum,-85.632914,34.380557
Trufum,-85.23869,34.279636
Trufum,-85.27297,34.69778
Trufum,-85.33441,34.938431
Trufum,-85.714755,34.445928
Trufum,-85.044395,34.841361
Trufum,-85.49436,34.51588
Trufum,-85.71221,34.45202
Trufum,-85.84777,34.49429
Trufum,-80.78704,35.22064
Trufum,-82.55878,38.39648
Trufum,-82.181207,38.679672
Trufum,-82.64693,38.46473
Trufum,-82.445183,38.419281
Trufum,-82.6481,27.8761
Trufum,-82.74621,27.93801
Trufum,-90.801947,35.440537
Trufum,-90.801651,35.440559
Trufum,-90.025785,35.36467
Trufum,-90.324143,35.220992
Trufum,-90.20074,35.21233
Trufum,-90.69621,35.70148
Trufum,-90.995326,35.402621
Trufum,-90.0071,35.037968
Trufum,-82.477541,35.363321
Trufum,-82.570296,35.612932
Trufum,-82.370837,35.544573
Trufum,-82.41065,35.522926
Trufum,-78.493388,35.936608
Trufum,-78.93117,35.00844
Trufum,-78.47837,35.78101
Trufum,-78.162596,35.464153
Trufum,-74.127146,44.324461
Trufum,-74.98311,44.672573
Trufum,-79.7898,35.359123
Trufum,-83,40
Trufum,-77.23806,38.645347
Trufum,-76.970654,38.912285
Trufum,-76.645966,38.056281
Trufum,-82.55018,28.4712
Trufum,-87.665405,41.832735
Trufum,-74.21674,40.15265
Trufum,-93.62078,32.08736
Trufum,-77.590744,36.326897
Trufum,-77.365808,37.369611
Trufum,-82.22703,34.93872
Trufum,-82.220045,34.284829
Trufum,-85.056,34.770855
Trufum,-92.942544,44.518916
Trufum,-92.761105,44.863199
Trufum,-92.958892,44.633734
Trufum,-92.252197,44.129985
Trufum,-80.4236,25.544525
Trufum,-75.70959,39.84724
Trufum,-85.13074,33.45651
Trufum,-82.34867,29.645405
Trufum,-82.214072,29.426515
Trufum,-88.0706,30.82079
Trufum,-80.23563,36.151535
Trufum,-86.38432,35.261322
Trufum,-83.905797,43.667338
Trufum,-89.2504,40.0003
Trufum,-97.416664,48.416668
Trufum,-84.306128,33.997236
Trufum,-84.87664,35.15947
Trufum,-92.608265,31.26742
Trufum,-92.608403,31.267331
Trufum,-92.39298,31.34876
Trufum,-92.24831,31.63722
Trufum,-86.67678,34.755695
Trufum,-80.08197,35.88264
